Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Vertical Position,-0.26
,
,
,
Label,
TIME,CH2
-8.9240e-04,0.00204937
-8.9220e-04,0.0020625
-8.9200e-04,0.00216281
-8.9180e-04,0.00209031
-8.9160e-04,0.00205313
-8.9140e-04,0.00157469
-8.9120e-04,0.00207563
-8.9100e-04,0.00179219
-8.9080e-04,0.00192344
-8.9060e-04,0.00210688
-8.9040e-04,0.00219625
-8.9020e-04,0.00190844
-8.9000e-04,0.00180156
-8.8980e-04,0.00203031
-8.8960e-04,0.00193938
-8.8940e-04,0.00195719
-8.8920e-04,0.00183094
-8.8900e-04,0.001795
-8.8880e-04,0.00183563
-8.8860e-04,0.00192688
-8.8840e-04,0.00176719
-8.8820e-04,0.00195688
-8.8800e-04,0.00204438
-8.8780e-04,0.00174656
-8.8760e-04,0.00198969
-8.8740e-04,0.00206156
-8.8720e-04,0.00187563
-8.8700e-04,0.00189688
-8.8680e-04,0.00212156
-8.8660e-04,0.00211
-8.8640e-04,0.00212875
-8.8620e-04,0.00184563
-8.8600e-04,0.00195719
-8.8580e-04,0.00183188
-8.8560e-04,0.0017675
-8.8540e-04,0.00213563
-8.8520e-04,0.00216625
-8.8500e-04,0.00213219
-8.8480e-04,0.00198906
-8.8460e-04,0.00189469
-8.8440e-04,0.00193313
-8.8420e-04,0.00199281
-8.8400e-04,0.001835
-8.8380e-04,0.00183844
-8.8360e-04,0.001925
-8.8340e-04,0.00196875
-8.8320e-04,0.001865
-8.8300e-04,0.00189844
-8.8280e-04,0.00221813
-8.8260e-04,0.00190469
-8.8240e-04,0.00181781
-8.8220e-04,0.00182875
-8.8200e-04,0.00180406
-8.8180e-04,0.00187375
-8.8160e-04,0.00201125
-8.8140e-04,0.00191563
-8.8120e-04,0.00185531
-8.8100e-04,0.00187406
-8.8080e-04,0.001885
-8.8060e-04,0.00209344
-8.8040e-04,0.00185406
-8.8020e-04,0.00185625
-8.8000e-04,0.00194406
-8.7980e-04,0.00203781
-8.7960e-04,0.00196906
-8.7940e-04,0.00213813
-8.7920e-04,0.0019375
-8.7900e-04,0.00195781
-8.7880e-04,0.00194438
-8.7860e-04,0.00195063
-8.7840e-04,0.00200531
-8.7820e-04,0.00195562
-8.7800e-04,0.00184063
-8.7780e-04,0.00183375
-8.7760e-04,0.00218219
-8.7740e-04,0.00216219
-8.7720e-04,0.00183063
-8.7700e-04,0.00185625
-8.7680e-04,0.00195125
-8.7660e-04,0.00187188
-8.7640e-04,0.00184438
-8.7620e-04,0.00205187
-8.7600e-04,0.00199781
-8.7580e-04,0.00196281
-8.7560e-04,0.00192469
-8.7540e-04,0.00201125
-8.7520e-04,0.0020575
-8.7500e-04,0.00200469
-8.7480e-04,0.00201656
-8.7460e-04,0.00192656
-8.7440e-04,0.00198094
-8.7420e-04,0.00196188
-8.7400e-04,0.00195344
-8.7380e-04,0.00198844
-8.7360e-04,0.0019225
-8.7340e-04,0.00213188
-8.7320e-04,0.00196281
-8.7300e-04,0.00201781
-8.7280e-04,0.00192156
-8.7260e-04,0.00198094
-8.7240e-04,0.00206438
-8.7220e-04,0.00202719
-8.7200e-04,0.00200156
-8.7180e-04,0.00216219
-8.7160e-04,0.00201688
-8.7140e-04,0.00187469
-8.7120e-04,0.00187125
-8.7100e-04,0.00212531
-8.7080e-04,0.00193594
-8.7060e-04,0.0018975
-8.7040e-04,0.00193719
-8.7020e-04,0.0020225
-8.7000e-04,0.00194344
-8.6980e-04,0.00216156
-8.6960e-04,0.00199406
-8.6940e-04,0.00189219
-8.6920e-04,0.00179781
-8.6900e-04,0.00232031
-8.6880e-04,0.00192844
-8.6860e-04,0.00188125
-8.6840e-04,0.00204219
-8.6820e-04,0.00194
-8.6800e-04,0.00181438
-8.6780e-04,0.00207
-8.6760e-04,0.00199906
-8.6740e-04,0.00194594
-8.6720e-04,0.00199313
-8.6700e-04,0.00188688
-8.6680e-04,0.00206469
-8.6660e-04,0.00206656
-8.6640e-04,0.00201625
-8.6620e-04,0.00218906
-8.6600e-04,0.00199844
-8.6580e-04,0.00227344
-8.6560e-04,0.00195656
-8.6540e-04,0.00205125
-8.6520e-04,0.00186406
-8.6500e-04,0.00217563
-8.6480e-04,0.00182063
-8.6460e-04,0.00204531
-8.6440e-04,0.00195
-8.6420e-04,0.00207438
-8.6400e-04,0.00218281
-8.6380e-04,0.0018475
-8.6360e-04,0.00234656
-8.6340e-04,0.00210219
-8.6320e-04,0.00206844
-8.6300e-04,0.00204281
-8.6280e-04,0.00186719
-8.6260e-04,0.00210344
-8.6240e-04,0.002085
-8.6220e-04,0.00201906
-8.6200e-04,0.00217344
-8.6180e-04,0.00212875
-8.6160e-04,0.0021525
-8.6140e-04,0.00214469
-8.6120e-04,0.0020225
-8.6100e-04,0.00223906
-8.6080e-04,0.00204625
-8.6060e-04,0.00223438
-8.6040e-04,0.00211188
-8.6020e-04,0.00195688
-8.6000e-04,0.00219156
-8.5980e-04,0.00211969
-8.5960e-04,0.00202719
-8.5940e-04,0.00219844
-8.5920e-04,0.00218219
-8.5900e-04,0.00213969
-8.5880e-04,0.001995
-8.5860e-04,0.00211219
-8.5840e-04,0.00223625
-8.5820e-04,0.00200375
-8.5800e-04,0.00217
-8.5780e-04,0.00200813
-8.5760e-04,0.00188906
-8.5740e-04,0.0020525
-8.5720e-04,0.00218938
-8.5700e-04,0.00225156
-8.5680e-04,0.002325
-8.5660e-04,0.00220469
-8.5640e-04,0.00207438
-8.5620e-04,0.00193875
-8.5600e-04,0.00227031
-8.5580e-04,0.00207688
-8.5560e-04,0.00232219
-8.5540e-04,0.00229688
-8.5520e-04,0.00205063
-8.5500e-04,0.00227312
-8.5480e-04,0.00212
-8.5460e-04,0.00240875
-8.5440e-04,0.00228656
-8.5420e-04,0.00198594
-8.5400e-04,0.00223656
-8.5380e-04,0.00223813
-8.5360e-04,0.00214562
-8.5340e-04,0.00225406
-8.5320e-04,0.00227969
-8.5300e-04,0.00234125
-8.5280e-04,0.00240875
-8.5260e-04,0.00210688
-8.5240e-04,0.00199781
-8.5220e-04,0.00230219
-8.5200e-04,0.00219563
-8.5180e-04,0.00205625
-8.5160e-04,0.00229969
-8.5140e-04,0.00238688
-8.5120e-04,0.00233313
-8.5100e-04,0.00235531
-8.5080e-04,0.0023675
-8.5060e-04,0.00218906
-8.5040e-04,0.00239906
-8.5020e-04,0.00206031
-8.5000e-04,0.00239469
-8.4980e-04,0.00212281
-8.4960e-04,0.00219906
-8.4940e-04,0.00239813
-8.4920e-04,0.002435
-8.4900e-04,0.00238125
-8.4880e-04,0.00235938
-8.4860e-04,0.00205406
-8.4840e-04,0.00238906
-8.4820e-04,0.00211844
-8.4800e-04,0.00229562
-8.4780e-04,0.00230406
-8.4760e-04,0.00229188
-8.4740e-04,0.00233344
-8.4720e-04,0.00254625
-8.4700e-04,0.00232938
-8.4680e-04,0.00227281
-8.4660e-04,0.00235281
-8.4640e-04,0.00245469
-8.4620e-04,0.00236781
-8.4600e-04,0.00224281
-8.4580e-04,0.00229031
-8.4560e-04,0.00236844
-8.4540e-04,0.00248281
-8.4520e-04,0.002335
-8.4500e-04,0.00228656
-8.4480e-04,0.00226469
-8.4460e-04,0.00223469
-8.4440e-04,0.00248031
-8.4420e-04,0.00227281
-8.4400e-04,0.00255563
-8.4380e-04,0.00237406
-8.4360e-04,0.00202281
-8.4340e-04,0.00222906
-8.4320e-04,0.00230813
-8.4300e-04,0.00224719
-8.4280e-04,0.00236688
-8.4260e-04,0.00222781
-8.4240e-04,0.0025
-8.4220e-04,0.00270688
-8.4200e-04,0.00244563
-8.4180e-04,0.00261063
-8.4160e-04,0.0022125
-8.4140e-04,0.00231094
-8.4120e-04,0.00254031
-8.4100e-04,0.00246344
-8.4080e-04,0.00230156
-8.4060e-04,0.00255125
